,LU,LDL,LUSparse,NullSpace,RangeSpace
0.05,0.3017908555997565,0.19187556479919293,1.0264959470998292,1.8083300113994483,0.17775233600004867
0.15,0.39550270900072065,0.2502764605007542,1.2021081876995594,1.7900404769003218,0.2656385287002195
0.25,0.5127275126011227,0.3177297834001365,1.303293164599745,1.7339331089999177,0.36878242720013077
0.35,0.6599122322004405,0.4233551635999902,1.412435249900227,1.7171849644000758,0.48888457140055835
0.44999999999999996,0.7968933985008334,0.4964468840997142,1.6274583975995482,1.676529954999205,0.6170037673997285
0.5499999999999999,0.9866395709002973,0.6505238700010523,1.801262199700068,1.6836618255001667,0.7803392254998471
0.65,1.1789182839002024,0.7795701490998909,1.8806560667999292,1.8171353770998393,0.9665920117004134
0.75,1.448273340099331,0.9186280805999558,2.0508728983000766,1.955918677399677,1.154500590200405
0.85,1.6725569517999248,1.0657463920997543,2.1293194113990466,2.081769620399791,1.364237766099177
0.95,1.9394332318996022,1.2387904323004477,2.1865353518005577,2.2910731560998103,1.5931831652000255
